time,ecg
1074.6,-120807.42857142858
1076.6,-120805.57142857143
1078.6,-120809.0
1080.6,-120823.14285714287
1082.6,-120845.99999999999
1084.6,-120876.71428571429
1086.6,-120923.57142857142
1088.6,-120979.57142857142
1090.5,-121009.14285714284
1092.5,-120991.71428571426
1094.5,-120960.42857142855
1096.5,-120959.85714285713
1098.5,-120981.2857142857
1100.5,-120976.57142857143
1102.5,-120927.99999999999
1104.5,-120875.57142857142
1106.5,-120866.71428571428
1108.5,-120894.0
1110.5,-120905.42857142858
1112.5,-120876.14285714284
1114.5,-120842.42857142857
1116.5,-120849.42857142855
1118.5,-120887.5714285714
1120.5,-120903.71428571428
1122.5,-120864.99999999999
1124.5,-120800.14285714286
1126.5,-120766.28571428571
1128.5,-120774.14285714286
1130.5,-120773.14285714286
1132.5,-120735.28571428571
1134.5,-120705.85714285712
1136.5,-120727.71428571428
1138.5,-120774.85714285714
1140.5,-120811.28571428571
1142.5,-120849.0
1144.5,-120901.0
1146.5,-120943.14285714286
1148.5,-120963.0
1150.5,-120991.28571428571
1152.5,-121043.42857142857
1154.5,-121079.42857142857
1156.5,-121064.14285714284
1158.5,-121028.99999999999
1160.5,-121024.5714285714
1162.5,-121046.71428571426
1164.5,-121061.99999999997
1166.5,-121068.42857142855
1168.5,-121080.71428571428
1170.4,-121097.42857142855
1172.4,-121119.5714285714
1174.4,-121151.85714285713
1176.4,-121171.2857142857
1178.4,-121149.42857142855
1180.4,-121108.57142857142
1182.4,-121096.2857142857
1184.4,-121111.42857142857
1186.4,-121111.71428571428
1188.4,-121086.42857142857
1190.4,-121069.28571428571
1192.4,-121081.71428571429
1194.4,-121105.14285714286
1196.4,-121114.14285714286
1198.4,-121106.28571428571
1200.4,-121100.42857142857
1202.4,-121121.99999999999
1204.4,-121178.42857142857
1206.4,-121240.99999999999
1208.4,-121270.99999999999
1210.4,-121264.71428571428
1212.4,-121250.42857142857
1214.4,-121234.85714285713
1216.4,-121177.2857142857
1218.4,-121028.99999999999
1220.4,-120788.42857142857
1222.4,-120497.42857142857
1224.4,-120186.42857142857
1226.4,-119847.14285714286
1228.4,-119472.0
1230.4,-119093.85714285713
1232.4,-118777.42857142857
1234.4,-118587.14285714284
1236.4,-118559.85714285714
1238.4,-118687.14285714284
1240.4,-118934.85714285713
1242.38,-119290.14285714283
1244.35,-119758.85714285713
1246.33,-120297.85714285712
1248.3,-120797.28571428571
1250.3,-121165.85714285713
1252.3,-121401.28571428571
1254.3,-121549.14285714283
1256.3,-121626.28571428571
1258.3,-121620.42857142855
1260.3,-121544.71428571429
1262.3,-121446.71428571429
1264.3,-121364.14285714286
1266.3,-121305.14285714287
1268.3,-121268.71428571429
1270.3,-121245.71428571429
1272.3,-121209.57142857143
1274.3,-121154.42857142858
1276.3,-121122.42857142858
1278.3,-121143.85714285713
1280.3,-121178.14285714286
1282.3,-121170.0
1284.3,-121133.71428571428
1286.3,-121129.57142857143
1288.3,-121170.42857142857
1290.3,-121202.0
1292.3,-121175.85714285714
1294.3,-121115.85714285713
1296.3,-121087.28571428571
1298.3,-121110.42857142855
1300.3,-121137.71428571428
1302.3,-121125.99999999999
1304.3,-121094.14285714286
1306.3,-121091.14285714286
1308.3,-121130.0
1310.3,-121175.28571428571
1312.3,-121186.28571428572
1314.3,-121158.5714285714
1316.3,-121122.14285714286
1318.3,-121108.42857142857
1320.3,-121119.85714285713
1322.28,-121125.85714285713
1324.25,-121096.85714285713
1326.23,-121047.85714285714
1328.2,-121031.42857142855
1330.2,-121068.71428571426
1332.2,-121112.85714285714
1334.2,-121109.2857142857
1336.2,-121072.42857142858
1338.2,-121062.71428571429
1340.2,-121099.57142857142
1342.2,-121138.14285714284
1344.2,-121134.42857142857
1346.2,-121098.42857142857
1348.2,-121073.85714285713
1350.2,-121086.14285714284
1352.2,-121118.5714285714
1354.2,-121131.5714285714
1356.2,-121106.99999999999
1358.2,-121076.85714285713
1360.2,-121087.14285714284
1362.2,-121131.28571428571
1364.2,-121152.85714285713
1366.2,-121123.14285714284
1368.2,-121080.85714285713
1370.2,-121074.85714285714
1372.2,-121096.57142857142
1374.2,-121099.14285714284
1376.2,-121066.42857142857
1378.2,-121028.57142857142
1380.2,-121012.71428571429
1382.2,-121009.71428571429
1384.2,-120994.57142857143
1386.2,-120958.28571428572
1388.2,-120911.85714285713
1390.2,-120874.85714285714
1392.2,-120863.42857142858
1394.2,-120876.28571428571
1396.2,-120891.0
1398.2,-120886.14285714286
1400.2,-120869.14285714284
1402.18,-120866.42857142857
1404.15,-120882.0
1406.13,-120882.71428571428
1408.1,-120841.71428571426
1410.1,-120780.28571428571
1412.1,-120746.42857142855
1414.1,-120751.14285714286
1416.1,-120753.0
1418.1,-120715.28571428572
1420.1,-120658.42857142858
1422.1,-120631.57142857143
1424.1,-120645.85714285716
1426.1,-120660.2857142857
1428.1,-120635.85714285713
1430.1,-120585.42857142855
1432.1,-120557.71428571428
1434.1,-120572.14285714284
1436.1,-120588.42857142857
1438.1,-120560.42857142858
1440.1,-120504.0
1442.1,-120476.14285714284
1444.1,-120494.14285714284
1446.1,-120517.99999999999
1448.1,-120512.28571428571
1450.1,-120486.85714285713
1452.1,-120474.71428571428
1454.1,-120493.14285714284
1456.1,-120526.57142857142
1458.1,-120543.28571428571
1460.1,-120533.42857142857
1462.1,-120523.42857142857
1464.1,-120541.99999999999
1466.1,-120580.28571428571
1468.1,-120599.14285714286
1470.1,-120577.42857142857
1472.1,-120538.42857142857
1474.1,-120522.42857142857
1476.1,-120540.42857142857
1478.1,-120564.71428571428
1480.1,-120563.2857142857
1482.08,-120539.2857142857
1484.05,-120530.2857142857
1486.03,-120560.85714285713
1488.0,-120599.85714285713
1490.0,-120592.14285714284
1492.0,-120539.57142857143
1494.0,-120508.14285714286
1496.0,-120538.28571428571
1498.0,-120594.0
1500.0,-120623.42857142857
1502.0,-120627.42857142857
1504.0,-120643.85714285714
1506.0,-120694.57142857142
1508.0,-120764.71428571429
1510.0,-120817.85714285713
1512.0,-120829.42857142855
1514.0,-120817.71428571426
1516.0,-120829.5714285714
1518.0,-120885.0
